period,region,qty_bills,total_bills,qty_pays,total_pays,qty_pay_adjust,qty_sb,sb_total,qty_incs,total_incs,qty_pfs,total_pfs,pays_vs_bills,%_real_apparent_delinquency,bills_vs_qty_sbs,cost_per_prop,total_inc_per_prop,qty_pf_per_prop,totla_pf_per_prop
2022-10-01,Araucania,409.0,321152142,252,26691301,16,98,22182114,0,0,145,2520775,0.5770171149144254,8.311107886056075,0.2396088019559902,54234.997555012225,0.0,0.3545232273838631,6163.264058679707
2022-10-01,Araucanía,8199.0,1424662375,6497,598196226,599,1995,602729034,1,15000,2909,65446870,0.7193560190267105,41.98863088526501,0.243322356384925,73512.50567142335,0.0024886805104530605,0.35479936577631416,7982.299060861081
2022-10-01,Arica y Parinacota,2739.0,299736764,2246,147907994,140,397,150046941,1,30000,1044,14410265,0.768893756845564,49.34596344677959,0.14494341000365096,54781.65060240964,0.01999374315801613,0.38116100766703176,5261.140927345747
2022-10-01,Atacama,954.0,30659920,277,15657601,18,60,12584205,0,0,12,854909,0.27148846960167716,51.068629663743415,0.06289308176100629,13190.990566037735,0.0,0.012578616352201259,896.1310272536688
2022-10-01,Aysén,179.0,14726637,155,4775801,42,34,5687089,0,0,1,90000,0.6312849162011173,32.42967827617399,0.18994413407821228,31771.4469273743,0.0,0.00558659217877095,502.7932960893855
2022-10-01,Bio Bio,364.0,24692431,297,14150027,5,91,14695652,1,5000,36,239000,0.8021978021978022,57.30511912739576,0.25,40372.67032967033,0.034023669041700226,0.0989010989010989,656.5934065934066
2022-10-01,Bío Bío,17250.0,2081212652,14237,884864879,1191,3259,853909930,1,180000,4178,43124759,0.7562898550724638,42.51679318543754,0.18892753623188405,49502.02492753623,0.02107950659386289,0.24220289855072463,2499.9860289855073
2022-10-01,Coquimbo,7486.0,2691712375,5833,645939224,466,1478,635408446,0,0,1545,28860089,0.7169382847982901,23.99733455919487,0.1974352123964734,84879.56799358803,0.0,0.20638525247127973,3855.208255410099
2022-10-01,Los Lagos,8493.0,1181734541,6466,487088239,471,1783,528264779,0,0,2332,23828212,0.7058754268220888,41.21807581149479,0.2099375956670199,62200.02107618038,0.0,0.27457906511244556,2805.629577298952
2022-10-01,Los Ríos,1318.0,212719872,1103,113473606,57,341,106269418,0,0,60,1895332,0.7936267071320182,53.34414924807778,0.25872534142640363,80629.3004552352,0.0,0.04552352048558422,1438.0364188163885
